unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;;;;
140:05:02;140:05:02;EXp60;WW_R3;Sorghum;Exp60_173_IS20782;Exp60_173_IS20782;3;;;;
140:06:01;140:06:01;EXp60;WW_R3;Sorghum;Exp60_72_IS9303;Exp60_72_IS9303;3;;;;
140:06:02;140:06:02;EXp60;WW_R3;Sorghum;Exp60_33_IS3672;Exp60_33_IS3672;3;;;;
140:07:01;140:07:01;EXp60;WW_R3;Sorghum;Exp60_210_IS23645;Exp60_210_IS23645;3;;;;
140:07:02;140:07:02;EXp60;WW_R3;Sorghum;Exp60_285_IS31681;Exp60_285_IS31681;3;;;;
140:08:01;140:08:01;EXp60;WW_R3;Sorghum;Exp60_115_IS14535;Exp60_115_IS14535;3;;;;
140:08:02;140:08:02;EXp60;WW_R3;Sorghum;Exp60_123_IS15478;Exp60_123_IS15478;3;;;;
140:09:01;140:09:01;EXp60;WW_R3;Sorghum;Exp60_27_IS3121;Exp60_27_IS3121;3;;;;
140:09:02;140:09:02;EXp60;WW_R3;Sorghum;Exp60_189_IS22287;Exp60_189_IS22287;3;;;;
141:10:01;141:10:01;EXp60;WW_R4;Sorghum;Exp60_250_IS29233;Exp60_250_IS29233;4;;;;
141:10:02;141:10:02;EXp60;WW_R4;Sorghum;Exp60_255_IS29472;Exp60_255_IS29472;4;;;;
141:11:01;141:11:01;EXp60;WW_R4;Sorghum;Exp60_115_IS14535;Exp60_115_IS14535;4;;;;
141:11:02;141:11:02;EXp60;WW_R4;Sorghum;Exp60_57_IS6413;Exp60_57_IS6413;4;;;;
141:12:01;141:12:01;EXp60;WW_R4;Sorghum;Exp60_214_IS23903;Exp60_214_IS23903;4;;;;
141:12:02;141:12:02;EXp60;WW_R4;Sorghum;Exp60_271_IS30441;Exp60_271_IS30441;4;;;;
141:01:01;141:01:01;EXp60;WW_R4;Sorghum;Exp60_93_IS12447;Exp60_93_IS12447;4;;;;
141:01:02;141:01:02;EXp60;WW_R4;Sorghum;Exp60_139_IS18874;Exp60_139_IS18874;4;;;;
141:02:01;141:02:01;EXp60;WW_R4;Sorghum;Exp60_66_IS8283;Exp60_66_IS8283;4;;;;
141:02:02;141:02:02;EXp60;WW_R4;Sorghum;Exp60_55_IS6193;Exp60_55_IS6193;4;;;;
141:03:01;141:03:01;EXp60;WW_R4;Sorghum;Exp60_108_IS14317;Exp60_108_IS14317;4;;;;
141:03:02;141:03:02;EXp60;WW_R4;Sorghum;Exp60_235_IS25910;Exp60_235_IS25910;4;;;;
141:04:01;141:04:01;EXp60;WW_R4;Sorghum;Exp60_117_IS14735;Exp60_117_IS14735;4;;;;
141:04:02;141:04:02;EXp60;WW_R4;Sorghum;Exp60_253_IS29407;Exp60_253_IS29407;4;;;;
141:05:01;141:05:01;EXp60;WW_R4;Sorghum;Exp60_2_IS35;Exp60_2_IS35;4;;;;
141:05:02;141:05:02;EXp60;WW_R4;Sorghum;Exp60_24_IS2873;Exp60_24_IS2873;4;;;;
141:06:01;141:06:01;EXp60;WW_R4;Sorghum;Exp60_90_IS11374;Exp60_90_IS11374;4;;;;
141:06:02;141:06:02;EXp60;WW_R4;Sorghum;Exp60_215_IS23948;Exp60_215_IS23948;4;;;;
141:07:01;141:07:01;EXp60;WW_R4;Sorghum;Exp60_206_IS23178;Exp60_206_IS23178;4;;;;
141:07:02;141:07:02;EXp60;WW_R4;Sorghum;Exp60_210_IS23645;Exp60_210_IS23645;4;;;;
141:08:01;141:08:01;EXp60;WW_R4;Sorghum;Exp60_208_IS23574;Exp60_208_IS23574;4;;;;
141:08:02;141:08:02;EXp60;WW_R4;Sorghum;Exp60_23_IS2848;Exp60_23_IS2848;4;;;;
141:09:01;141:09:01;EXp60;WW_R4;Sorghum;Exp60_313_SSM19;Exp60_313_SSM19;4;;;;
141:09:02;141:09:02;EXp60;WW_R4;Sorghum;Exp60_178_IS21401;Exp60_178_IS21401;4;;;;
142:10:01;142:10:01;EXp60;WW_R4;Sorghum;Exp60_240_IS27146;Exp60_240_IS27146;4;;;;
142:10:02;142:10:02;EXp60;WW_R4;Sorghum;Exp60_147_IS19132;Exp60_147_IS19132;4;;;;
142:11:01;142:11:01;EXp60;WW_R4;Sorghum;Exp60_315_SSM215;Exp60_315_SSM215;4;;;;
142:11:02;142:11:02;EXp60;WW_R4;Sorghum;Exp60_229_IS25301;Exp60_229_IS25301;4;;;;
142:12:01;142:12:01;EXp60;WW_R4;Sorghum;Exp60_216_IS23988;Exp60_216_IS23988;4;;;;
142:12:02;142:12:02;EXp60;WW_R4;Sorghum;Exp60_71_IS9168;Exp60_71_IS9168;4;;;;
142:01:01;142:01:01;EXp60;WW_R4;Sorghum;Exp60_21_IS2814;Exp60_21_IS2814;4;;;;
142:01:02;142:01:02;EXp60;WW_R4;Sorghum;Exp60_3_IS303;Exp60_3_IS303;4;;;;
142:02:01;142:02:01;EXp60;WW_R4;Sorghum;Exp60_238_IS26815;Exp60_238_IS26815;4;;;;
142:02:02;142:02:02;EXp60;WW_R4;Sorghum;Exp60_81_IS10234;Exp60_81_IS10234;4;;;;
142:03:01;142:03:01;EXp60;WW_R4;Sorghum;Exp60_131_IS16545;Exp60_131_IS16545;4;;;;
142:03:02;142:03:02;EXp60;WW_R4;Sorghum;Exp60_237_IS26788;Exp60_237_IS26788;4;;;;
142:04:01;142:04:01;EXp60;WW_R4;Sorghum;Exp60_274_IS30503;Exp60_274_IS30503;4;;;;
142:04:02;142:04:02;EXp60;WW_R4;Sorghum;Exp60_307_SSM1102;Exp60_307_SSM1102;4;;;;
142:05:01;142:05:01;EXp60;WW_R4;Sorghum;Exp60_98_IS13791;Exp60_98_IS13791;4;;;;
142:05:02;142:05:02;EXp60;WW_R4;Sorghum;Exp60_288_IS32050;Exp60_288_IS32050;4;;;;
142:06:01;142:06:01;EXp60;WW_R4;Sorghum;Exp60_292_IS32454;Exp60_292_IS32454;4;;;;
142:06:02;142:06:02;EXp60;WW_R4;Sorghum;Exp60_219_IS24083;Exp60_219_IS24083;4;;;;
142:07:01;142:07:01;EXp60;WW_R4;Sorghum;Exp60_183_IS21854;Exp60_183_IS21854;4;;;;
142:07:02;142:07:02;EXp60;WW_R4;Sorghum;Exp60_101_IS13926;Exp60_101_IS13926;4;;;;
142:08:01;142:08:01;EXp60;WW_R4;Sorghum;Exp60_293_IS32569;Exp60_293_IS32569;4;;;;
142:08:02;142:08:02;EXp60;WW_R4;Sorghum;Exp60_222_IS24713;Exp60_222_IS24713;4;;;;
142:09:01;142:09:01;EXp60;WW_R4;Sorghum;Exp60_99_IS13827;Exp60_99_IS13827;4;;;;
142:09:02;142:09:02;EXp60;WW_R4;Sorghum;Exp60_228_IS25207;Exp60_228_IS25207;4;;;;
143:10:01;143:10:01;EXp60;WW_R4;Sorghum;Exp60_9_IS2179;Exp60_9_IS2179;4;;;;
143:10:02;143:10:02;EXp60;WW_R4;Sorghum;Exp60_126_IS16044;Exp60_126_IS16044;4;;;;
143:11:01;143:11:01;EXp60;WW_R4;Sorghum;Exp60_185_IS22040;Exp60_185_IS22040;4;;;;
143:11:02;143:11:02;EXp60;WW_R4;Sorghum;Exp60_110_IS14351;Exp60_110_IS14351;4;;;;
143:12:01;143:12:01;EXp60;WW_R4;Sorghum;Exp60_198_IS22909;Exp60_198_IS22909;4;;;;
143:12:02;143:12:02;EXp60;WW_R4;Sorghum;Exp60_199_IS22986;Exp60_199_IS22986;4;;;;
143:01:01;143:01:01;EXp60;WW_R4;Sorghum;Exp60_35_IS3780;Exp60_35_IS3780;4;;;;
143:01:02;143:01:02;EXp60;WW_R4;Sorghum;Exp60_128_IS16173;Exp60_128_IS16173;4;;;;
143:02:01;143:02:01;EXp60;WW_R4;Sorghum;Exp60_157_IS20205;Exp60_157_IS20205;4;;;;
143:02:02;143:02:02;EXp60;WW_R4;Sorghum;Exp60_312_SSM1592;Exp60_312_SSM1592;4;;;;
143:03:01;143:03:01;EXp60;WW_R4;Sorghum;Exp60_286_IS31693;Exp60_286_IS31693;4;;;;
143:03:02;143:03:02;EXp60;WW_R4;Sorghum;Exp60_232_IS25702;Exp60_232_IS25702;4;;;;
143:04:01;143:04:01;EXp60;WW_R4;Sorghum;Exp60_308_SSM1123;Exp60_308_SSM1123;4;;;;
143:04:02;143:04:02;EXp60;WW_R4;Sorghum;Exp60_284_IS31559;Exp60_284_IS31559;4;;;;
143:05:01;143:05:01;EXp60;WW_R4;Sorghum;Exp60_37_IS3905;Exp60_37_IS3905;4;;;;
143:05:02;143:05:02;EXp60;WW_R4;Sorghum;Exp60_320_SSM379;Exp60_320_SSM379;4;;;;
143:06:01;143:06:01;EXp60;WW_R4;Sorghum;Exp60_4_IS602;Exp60_4_IS602;4;;;;
143:06:02;143:06:02;EXp60;WW_R4;Sorghum;Exp60_92_IS12169;Exp60_92_IS12169;4;;;;
143:07:01;143:07:01;EXp60;WW_R4;Sorghum;Exp60_129_IS16186;Exp60_129_IS16186;4;;;;
143:07:02;143:07:02;EXp60;WW_R4;Sorghum;Exp60_302_IS41724;Exp60_302_IS41724;4;;;;
143:08:01;143:08:01;EXp60;WW_R4;Sorghum;Exp60_244_IS27587;Exp60_244_IS27587;4;;;;
143:08:02;143:08:02;EXp60;WW_R4;Sorghum;Exp60_13_IS2367;Exp60_13_IS2367;4;;;;
143:09:01;143:09:01;EXp60;WW_R4;Sorghum;Exp60_160_IS20665;Exp60_160_IS20665;4;;;;
143:09:02;143:09:02;EXp60;WW_R4;Sorghum;Exp60_217_IS23992;Exp60_217_IS23992;4;;;;
144:10:01;144:10:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:10:02;144:10:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:11:01;144:11:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:11:02;144:11:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:12:01;144:12:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:12:02;144:12:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:01:01;144:01:01;EXp60;WW_R4;Sorghum;Exp60_263_IS29876;Exp60_263_IS29876;4;;;;
144:01:02;144:01:02;EXp60;WW_R4;Sorghum;Exp60_196_IS22609;Exp60_196_IS22609;4;;;;
144:02:01;144:02:01;EXp60;WW_R4;Sorghum;Exp60_7_IS1398;Exp60_7_IS1398;4;;;;
144:02:02;144:02:02;EXp60;WW_R4;Sorghum;Exp60_127_IS16125;Exp60_127_IS16125;4;;;;
144:03:01;144:03:01;EXp60;WW_R4;Sorghum;Exp60_62_IS7277;Exp60_62_IS7277;4;;;;
144:03:02;144:03:02;EXp60;WW_R4;Sorghum;Exp60_52_IS5910;Exp60_52_IS5910;4;;;;
144:04:01;144:04:01;EXp60;WW_R4;Sorghum;Exp60_94_IS12531;Exp60_94_IS12531;4;;;;
144:04:02;144:04:02;EXp60;WW_R4;Sorghum;Exp60_112_IS14446;Exp60_112_IS14446;4;;;;
144:05:01;144:05:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:05:02;144:05:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:06:01;144:06:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:06:02;144:06:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:07:01;144:07:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:07:02;144:07:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:08:01;144:08:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:08:02;144:08:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:09:01;144:09:01;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
144:09:02;144:09:02;EXp60;WW_R4;Sorghum;Exp60_1001_Empty;Exp60_1001_Empty;4;;;;
157:10:01;157:10:01;EXp60;WW_R1;Sorghum;Exp60_281_IS31202;Exp60_281_IS31202;1;;;;
157:10:02;157:10:02;EXp60;WW_R1;Sorghum;Exp60_224_IS24913;Exp60_224_IS24913;1;;;;
157:11:01;157:11:01;EXp60;WW_R1;Sorghum;Exp60_219_IS24083;Exp60_219_IS24083;1;;;;
157:11:02;157:11:02;EXp60;WW_R1;Sorghum;Exp60_157_IS20205;Exp60_157_IS20205;1;;;;
157:12:01;157:12:01;EXp60;WW_R1;Sorghum;Exp60_18_IS2730;Exp60_18_IS2730;1;;;;
157:12:02;157:12:02;EXp60;WW_R1;Sorghum;Exp60_265_IS29966;Exp60_265_IS29966;1;;;;
157:01:01;157:01:01;EXp60;WW_R1;Sorghum;Exp60_229_IS25301;Exp60_229_IS25301;1;;;;
157:01:02;157:01:02;EXp60;WW_R1;Sorghum;Exp60_166_IS20713;Exp60_166_IS20713;1;;;;
157:02:01;157:02:01;EXp60;WW_R1;Sorghum;Exp60_100_IS13845;Exp60_100_IS13845;1;;;;
157:02:02;157:02:02;EXp60;WW_R1;Sorghum;Exp60_4_IS602;Exp60_4_IS602;1;;;;
157:03:01;157:03:01;EXp60;WW_R1;Sorghum;Exp60_37_IS3905;Exp60_37_IS3905;1;;;;
157:03:02;157:03:02;EXp60;WW_R1;Sorghum;Exp60_24_IS2873;Exp60_24_IS2873;1;;;;
157:04:01;157:04:01;EXp60;WW_R1;Sorghum;Exp60_28_IS3147;Exp60_28_IS3147;1;;;;
157:04:02;157:04:02;EXp60;WW_R1;Sorghum;Exp60_34_IS3675;Exp60_34_IS3675;1;;;;
157:05:01;157:05:01;EXp60;WW_R1;Sorghum;Exp60_305_SSM1049;Exp60_305_SSM1049;1;;;;
157:05:02;157:05:02;EXp60;WW_R1;Sorghum;Exp60_205_IS23166;Exp60_205_IS23166;1;;;;
157:06:01;157:06:01;EXp60;WW_R1;Sorghum;Exp60_227_IS25055;Exp60_227_IS25055;1;;;;
157:06:02;157:06:02;EXp60;WW_R1;Sorghum;Exp60_286_IS31693;Exp60_286_IS31693;1;;;;
157:07:01;157:07:01;EXp60;WW_R1;Sorghum;Exp60_225_IS24940;Exp60_225_IS24940;1;;;;
157:07:02;157:07:02;EXp60;WW_R1;Sorghum;Exp60_202_IS23053;Exp60_202_IS23053;1;;;;
157:08:01;157:08:01;EXp60;WW_R1;Sorghum;Exp60_159_IS20387;Exp60_159_IS20387;1;;;;
157:08:02;157:08:02;EXp60;WW_R1;Sorghum;Exp60_306_SSM1057;Exp60_306_SSM1057;1;;;;
157:09:01;157:09:01;EXp60;WW_R1;Sorghum;Exp60_83_IS10876;Exp60_83_IS10876;1;;;;
157:09:02;157:09:02;EXp60;WW_R1;Sorghum;Exp60_235_IS25910;Exp60_235_IS25910;1;;;;
158:10:01;158:10:01;EXp60;WW_R1;Sorghum;Exp60_36_IS3885;Exp60_36_IS3885;1;;;;
158:10:02;158:10:02;EXp60;WW_R1;Sorghum;Exp60_304_SSM1046;Exp60_304_SSM1046;1;;;;
158:11:01;158:11:01;EXp60;WW_R1;Sorghum;Exp60_251_IS29310;Exp60_251_IS29310;1;;;;
158:11:02;158:11:02;EXp60;WW_R1;Sorghum;Exp60_216_IS23988;Exp60_216_IS23988;1;;;;
158:12:01;158:12:01;EXp60;WW_R1;Sorghum;Exp60_54_IS6154;Exp60_54_IS6154;1;;;;
158:12:02;158:12:02;EXp60;WW_R1;Sorghum;Exp60_236_IS26110;Exp60_236_IS26110;1;;;;
158:01:01;158:01:01;EXp60;WW_R1;Sorghum;Exp60_103_IS14206;Exp60_103_IS14206;1;;;;
158:01:02;158:01:02;EXp60;WW_R1;Sorghum;Exp60_189_IS22287;Exp60_189_IS22287;1;;;;
158:02:01;158:02:01;EXp60;WW_R1;Sorghum;Exp60_78_IS9830;Exp60_78_IS9830;1;;;;
158:02:02;158:02:02;EXp60;WW_R1;Sorghum;Exp60_130_IS16396;Exp60_130_IS16396;1;;;;
158:03:01;158:03:01;EXp60;WW_R1;Sorghum;Exp60_190_IS22291;Exp60_190_IS22291;1;;;;
158:03:02;158:03:02;EXp60;WW_R1;Sorghum;Exp60_113_IS14449;Exp60_113_IS14449;1;;;;
158:04:01;158:04:01;EXp60;WW_R1;Sorghum;Exp60_122_IS15466;Exp60_122_IS15466;1;;;;
158:04:02;158:04:02;EXp60;WW_R1;Sorghum;Exp60_98_IS13791;Exp60_98_IS13791;1;;;;
158:05:01;158:05:01;EXp60;WW_R1;Sorghum;Exp60_176_IS21124;Exp60_176_IS21124;1;;;;
158:05:02;158:05:02;EXp60;WW_R1;Sorghum;Exp60_267_IS30207;Exp60_267_IS30207;1;;;;
158:06:01;158:06:01;EXp60;WW_R1;Sorghum;Exp60_208_IS23574;Exp60_208_IS23574;1;;;;
158:06:02;158:06:02;EXp60;WW_R1;Sorghum;Exp60_153_IS19953;Exp60_153_IS19953;1;;;;
158:07:01;158:07:01;EXp60;WW_R1;Sorghum;Exp60_315_SSM215;Exp60_315_SSM215;1;;;;
158:07:02;158:07:02;EXp60;WW_R1;Sorghum;Exp60_129_IS16186;Exp60_129_IS16186;1;;;;
158:08:01;158:08:01;EXp60;WW_R1;Sorghum;Exp60_245_IS27599;Exp60_245_IS27599;1;;;;
158:08:02;158:08:02;EXp60;WW_R1;Sorghum;Exp60_120_IS15428;Exp60_120_IS15428;1;;;;
158:09:01;158:09:01;EXp60;WW_R1;Sorghum;Exp60_144_IS19026;Exp60_144_IS19026;1;;;;
158:09:02;158:09:02;EXp60;WW_R1;Sorghum;Exp60_222_IS24713;Exp60_222_IS24713;1;;;;
159:10:01;159:10:01;EXp60;WW_R1;Sorghum;Exp60_85_IS10897;Exp60_85_IS10897;1;;;;
159:10:02;159:10:02;EXp60;WW_R1;Sorghum;Exp60_147_IS19132;Exp60_147_IS19132;1;;;;
159:11:01;159:11:01;EXp60;WW_R1;Sorghum;Exp60_192_IS22325;Exp60_192_IS22325;1;;;;
159:11:02;159:11:02;EXp60;WW_R1;Sorghum;Exp60_258_IS29606;Exp60_258_IS29606;1;;;;
159:12:01;159:12:01;EXp60;WW_R1;Sorghum;Exp60_218_IS24072;Exp60_218_IS24072;1;;;;
159:12:02;159:12:02;EXp60;WW_R1;Sorghum;Exp60_320_SSM379;Exp60_320_SSM379;1;;;;
159:01:01;159:01:01;EXp60;WW_R1;Sorghum;Exp60_140_IS18876;Exp60_140_IS18876;1;;;;
159:01:02;159:01:02;EXp60;WW_R1;Sorghum;Exp60_92_IS12169;Exp60_92_IS12169;1;;;;
159:02:01;159:02:01;EXp60;WW_R1;Sorghum;Exp60_263_IS29876;Exp60_263_IS29876;1;;;;
159:02:02;159:02:02;EXp60;WW_R1;Sorghum;Exp60_184_IS21991;Exp60_184_IS21991;1;;;;
159:03:01;159:03:01;EXp60;WW_R1;Sorghum;Exp60_178_IS21401;Exp60_178_IS21401;1;;;;
159:03:02;159:03:02;EXp60;WW_R1;Sorghum;Exp60_311_SSM1370;Exp60_311_SSM1370;1;;;;
159:04:01;159:04:01;EXp60;WW_R1;Sorghum;Exp60_6_IS1127;Exp60_6_IS1127;1;;;;
159:04:02;159:04:02;EXp60;WW_R1;Sorghum;Exp60_164_IS20709;Exp60_164_IS20709;1;;;;
159:05:01;159:05:01;EXp60;WW_R1;Sorghum;Exp60_76_IS9597;Exp60_76_IS9597;1;;;;
159:05:02;159:05:02;EXp60;WW_R1;Sorghum;Exp60_252_IS29375;Exp60_252_IS29375;1;;;;
159:06:01;159:06:01;EXp60;WW_R1;Sorghum;Exp60_310_SSM1284;Exp60_310_SSM1284;1;;;;
159:06:02;159:06:02;EXp60;WW_R1;Sorghum;Exp60_213_IS23777;Exp60_213_IS23777;1;;;;
159:07:01;159:07:01;EXp60;WW_R1;Sorghum;Exp60_183_IS21854;Exp60_183_IS21854;1;;;;
159:07:02;159:07:02;EXp60;WW_R1;Sorghum;Exp60_248_IS28389;Exp60_248_IS28389;1;;;;
159:08:01;159:08:01;EXp60;WW_R1;Sorghum;Exp60_99_IS13827;Exp60_99_IS13827;1;;;;
159:08:02;159:08:02;EXp60;WW_R1;Sorghum;Exp60_1_IS13;Exp60_1_IS13;1;;;;
159:09:01;159:09:01;EXp60;WW_R1;Sorghum;Exp60_63_IS7861;Exp60_63_IS7861;1;;;;
159:09:02;159:09:02;EXp60;WW_R1;Sorghum;Exp60_290_IS32092;Exp60_290_IS32092;1;;;;
160:10:01;160:10:01;EXp60;WW_R2;Sorghum;Exp60_228_IS25207;Exp60_228_IS25207;2;;;;
160:10:02;160:10:02;EXp60;WW_R2;Sorghum;Exp60_148_IS19418;Exp60_148_IS19418;2;;;;
160:11:01;160:11:01;EXp60;WW_R2;Sorghum;Exp60_136_IS18829;Exp60_136_IS18829;2;;;;
160:11:02;160:11:02;EXp60;WW_R2;Sorghum;Exp60_97_IS13452;Exp60_97_IS13452;2;;;;
160:12:01;160:12:01;EXp60;WW_R2;Sorghum;Exp60_301_IS36633;Exp60_301_IS36633;2;;;;
160:12:02;160:12:02;EXp60;WW_R2;Sorghum;Exp60_293_IS32569;Exp60_293_IS32569;2;;;;
160:01:01;160:01:01;EXp60;WW_R1;Sorghum;Exp60_231_IS25596;Exp60_231_IS25596;1;;;;
160:01:02;160:01:02;EXp60;WW_R1;Sorghum;Exp60_313_SSM19;Exp60_313_SSM19;1;;;;
160:02:01;160:02:01;EXp60;WW_R1;Sorghum;Exp60_87_IS10978;Exp60_87_IS10978;1;;;;
160:02:02;160:02:02;EXp60;WW_R1;Sorghum;Exp60_124_IS15526;Exp60_124_IS15526;1;;;;
160:03:01;160:03:01;EXp60;WW_R1;Sorghum;Exp60_195_IS22506;Exp60_195_IS22506;1;;;;
160:03:02;160:03:02;EXp60;WW_R1;Sorghum;Exp60_39_IS3971;Exp60_39_IS3971;1;;;;
160:04:01;160:04:01;EXp60;WW_R1;Sorghum;Exp60_268_IS30405;Exp60_268_IS30405;1;;;;
160:04:02;160:04:02;EXp60;WW_R1;Sorghum;Exp60_40_IS4027;Exp60_40_IS4027;1;;;;
160:05:01;160:05:01;EXp60;WW_R2;Sorghum;Exp60_216_IS23988;Exp60_216_IS23988;2;;;;
160:05:02;160:05:02;EXp60;WW_R2;Sorghum;Exp60_246_IS27791;Exp60_246_IS27791;2;;;;
160:06:01;160:06:01;EXp60;WW_R2;Sorghum;Exp60_291_IS32234;Exp60_291_IS32234;2;;;;
160:06:02;160:06:02;EXp60;WW_R2;Sorghum;Exp60_64_IS7889;Exp60_64_IS7889;2;;;;
160:07:01;160:07:01;EXp60;WW_R2;Sorghum;Exp60_170_IS20749;Exp60_170_IS20749;2;;;;
160:07:02;160:07:02;EXp60;WW_R2;Sorghum;Exp60_260_IS29691;Exp60_260_IS29691;2;;;;
160:08:01;160:08:01;EXp60;WW_R2;Sorghum;Exp60_241_IS27164;Exp60_241_IS27164;2;;;;
160:08:02;160:08:02;EXp60;WW_R2;Sorghum;Exp60_101_IS13926;Exp60_101_IS13926;2;;;;
160:09:01;160:09:01;EXp60;WW_R2;Sorghum;Exp60_56_IS6351;Exp60_56_IS6351;2;;;;
160:09:02;160:09:02;EXp60;WW_R2;Sorghum;Exp60_319_SSM29;Exp60_319_SSM29;2;;;;
161:10:01;161:10:01;EXp60;WW_R2;Sorghum;Exp60_175_IS20842;Exp60_175_IS20842;2;;;;
161:10:02;161:10:02;EXp60;WW_R2;Sorghum;Exp60_263_IS29876;Exp60_263_IS29876;2;;;;
161:11:01;161:11:01;EXp60;WW_R2;Sorghum;Exp60_218_IS24072;Exp60_218_IS24072;2;;;;
161:11:02;161:11:02;EXp60;WW_R2;Sorghum;Exp60_81_IS10234;Exp60_81_IS10234;2;;;;
161:12:01;161:12:01;EXp60;WW_R2;Sorghum;Exp60_114_IS14478;Exp60_114_IS14478;2;;;;
161:12:02;161:12:02;EXp60;WW_R2;Sorghum;Exp60_176_IS21124;Exp60_176_IS21124;2;;;;
161:01:01;161:01:01;EXp60;WW_R2;Sorghum;Exp60_242_IS27390;Exp60_242_IS27390;2;;;;
161:01:02;161:01:02;EXp60;WW_R2;Sorghum;Exp60_314_SSM205;Exp60_314_SSM205;2;;;;
161:02:01;161:02:01;EXp60;WW_R2;Sorghum;Exp60_255_IS29472;Exp60_255_IS29472;2;;;;
161:02:02;161:02:02;EXp60;WW_R2;Sorghum;Exp60_86_IS10971;Exp60_86_IS10971;2;;;;
161:03:01;161:03:01;EXp60;WW_R2;Sorghum;Exp60_249_IS28991;Exp60_249_IS28991;2;;;;
161:03:02;161:03:02;EXp60;WW_R2;Sorghum;Exp60_294_IS32986;Exp60_294_IS32986;2;;;;
161:04:01;161:04:01;EXp60;WW_R2;Sorghum;Exp60_42_IS4112;Exp60_42_IS4112;2;;;;
161:04:02;161:04:02;EXp60;WW_R2;Sorghum;Exp60_76_IS9597;Exp60_76_IS9597;2;;;;
161:05:01;161:05:01;EXp60;WW_R2;Sorghum;Exp60_100_IS13845;Exp60_100_IS13845;2;;;;
161:05:02;161:05:02;EXp60;WW_R2;Sorghum;Exp60_124_IS15526;Exp60_124_IS15526;2;;;;
161:06:01;161:06:01;EXp60;WW_R2;Sorghum;Exp60_13_IS2367;Exp60_13_IS2367;2;;;;
161:06:02;161:06:02;EXp60;WW_R2;Sorghum;Exp60_209_IS23601;Exp60_209_IS23601;2;;;;
161:07:01;161:07:01;EXp60;WW_R2;Sorghum;Exp60_121_IS15443;Exp60_121_IS15443;2;;;;
161:07:02;161:07:02;EXp60;WW_R2;Sorghum;Exp60_283_Phule Suchitra;Exp60_283_Phule Suchitra;2;;;;
161:08:01;161:08:01;EXp60;WW_R2;Sorghum;Exp60_166_IS20713;Exp60_166_IS20713;2;;;;
161:08:02;161:08:02;EXp60;WW_R2;Sorghum;Exp60_186_IS22074;Exp60_186_IS22074;2;;;;
161:09:01;161:09:01;EXp60;WW_R2;Sorghum;Exp60_88_IS11026;Exp60_88_IS11026;2;;;;
161:09:02;161:09:02;EXp60;WW_R2;Sorghum;Exp60_104_IS14216;Exp60_104_IS14216;2;;;;
162:10:01;162:10:01;EXp60;WW_R2;Sorghum;Exp60_231_IS25596;Exp60_231_IS25596;2;;;;
162:10:02;162:10:02;EXp60;WW_R2;Sorghum;Exp60_63_IS7861;Exp60_63_IS7861;2;;;;
162:11:01;162:11:01;EXp60;WW_R2;Sorghum;Exp60_287_IS31861;Exp60_287_IS31861;2;;;;
162:11:02;162:11:02;EXp60;WW_R2;Sorghum;Exp60_128_IS16173;Exp60_128_IS16173;2;;;;
162:12:01;162:12:01;EXp60;WW_R2;Sorghum;Exp60_221_IS24503;Exp60_221_IS24503;2;;;;
162:12:02;162:12:02;EXp60;WW_R2;Sorghum;Exp60_43_CSV22;Exp60_43_CSV22;2;;;;
162:01:01;162:01:01;EXp60;WW_R2;Sorghum;Exp60_120_IS15428;Exp60_120_IS15428;2;;;;
162:01:02;162:01:02;EXp60;WW_R2;Sorghum;Exp60_292_IS32454;Exp60_292_IS32454;2;;;;
162:02:01;162:02:01;EXp60;WW_R2;Sorghum;Exp60_245_IS27599;Exp60_245_IS27599;2;;;;
162:02:02;162:02:02;EXp60;WW_R2;Sorghum;Exp60_192_IS22325;Exp60_192_IS22325;2;;;;
162:03:01;162:03:01;EXp60;WW_R2;Sorghum;Exp60_308_SSM1123;Exp60_308_SSM1123;2;;;;
